sample,unfiltered
SC45NOR,data/GSM3666096_SC45NOR.rds
SC56NOR,data/GSM3666097_SC56NOR.rds
SC59NOR,data/GSM3666098_SC59NOR.rds
SC155NORLOW,data/GSM3666099_SC155NORLOW.rds
SC156NORUP,data/GSM3666100_SC156NORUP.rds
SC51SSCLOW,data/GSM3666101_SC51SSCLOW.rds
SC52SSCUP,data/GSM3666102_SC52SSCUP.rds
SC63SSCLOW,data/GSM3666103_SC63SSCLOW.rds
SC64SSCUP,data/GSM3666104_SC64SSCUP.rds
SC108SSCLOW,data/GSM3666105_SC108SSCLOW.rds
SC109SSCUP,data/GSM3666106_SC109SSCUP.rds
SC135SSCLOW,data/GSM3666107_SC135SSCLOW.rds
SC136SSCUP,data/GSM3666108_SC136SSCUP.rds